repo_name,category,stars,forks,open_issues,size_kb,primary_language,age_days,created_at,last_updated,description,has_wiki,has_issues,is_fork,license,status
imageio/imageio,Computer Vision,1698.0,348.0,129.0,4030.0,Python,4769.0,2013-05-04,2026-05-21,Python library for reading and writing image data,False,True,False,BSD-2-Clause,ok
google-deepmind/deepmind-research,Deep Learning,14951.0,2880.0,336.0,94304.0,Jupyter Notebook,2687.0,2019-01-15,2026-05-25,This repository contains implementations and illustrative code to accompany DeepMind publications,True,True,False,Apache-2.0,ok
meta-llama/llama3,Deep Learning,29283.0,3525.0,217.0,569.0,Python,801.0,2024-03-15,2026-05-25,The official Meta Llama 3 GitHub site,False,True,False,NOASSERTION,ok
openai/point-e,Deep Learning,6887.0,800.0,80.0,1601.0,Python,1266.0,2022-12-06,2026-05-25,Point cloud diffusion for 3D model synthesis,True,True,False,MIT,ok
JDAI-CV/fast-reid,Computer Vision,3931.0,879.0,18.0,14083.0,Python,2910.0,2018-06-06,2026-05-25,SOTA Re-identification Methods and Toolbox,True,True,False,Apache-2.0,ok
continuedev/continue,NLP,33377.0,4557.0,807.0,871476.0,TypeScript,1097.0,2023-05-24,2026-05-25,"⏩ Source-controlled AI checks, enforceable in CI. Powered by the open-source Continue CLI",False,True,False,Apache-2.0,ok
BlinkDL/RWKV-LM,Deep Learning,14538.0,1010.0,149.0,30916.0,Python,1751.0,2021-08-08,2026-05-25,"RWKV (pronounced RwaKuv) is an RNN with great LLM performance, which can also be directly trained like a GPT transformer (parallelizable). We are at RWKV-7 ""Goose"". So it's combining the best of RNN a",True,True,False,Apache-2.0,ok
openai/shap-e,Deep Learning,12244.0,1072.0,109.0,11987.0,Python,1132.0,2023-04-19,2026-05-25,Generate 3D objects conditioned on text or images,True,True,False,MIT,ok
nomic-ai/nomic,NLP,1876.0,197.0,50.0,25303.0,Python,1404.0,2022-07-21,2026-05-20,Nomic Developer API SDK,True,True,False,None,ok
facebookresearch/ConvNeXt-V2,Computer Vision,2034.0,170.0,62.0,813.0,Python,1243.0,2022-12-29,2026-05-23,Code release for ConvNeXt V2 model,False,True,False,NOASSERTION,ok
mlfoundations/open_flamingo,Deep Learning,4102.0,318.0,51.0,7719.0,Python,1313.0,2022-10-20,2026-05-22,An open-source framework for training large multimodal models.,True,True,False,MIT,ok
salesforce/BLIP,Deep Learning,5705.0,763.0,135.0,7337.0,Jupyter Notebook,1581.0,2022-01-25,2026-05-25,PyTorch code for BLIP: Bootstrapping Language-Image Pre-training for Unified Vision-Language Understanding and Generation  ,False,True,False,BSD-3-Clause,ok
facebookresearch/fairscale,Deep Learning,3405.0,297.0,108.0,4685.0,Python,2148.0,2020-07-07,2026-05-25,PyTorch extensions for high performance and large scale training.,False,True,False,NOASSERTION,ok
facebookresearch/moco,Computer Vision,5138.0,805.0,62.0,42.0,,2260.0,2020-03-17,2026-05-22,PyTorch implementation of MoCo: https://arxiv.org/abs/1911.05722,False,True,False,None,ok
LAION-AI/Open-Assistant,Deep Learning,37414.0,3295.0,297.0,35477.0,Python,1259.0,2022-12-13,2026-05-25,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.",False,True,False,Apache-2.0,ok
mistralai/mistral-common,NLP,895.0,145.0,8.0,8640.0,Python,770.0,2024-04-15,2026-05-25,Official inference library for pre-processing of Mistral models,True,True,False,Apache-2.0,ok
NVIDIA/apex,Deep Learning,8968.0,1517.0,763.0,16558.0,Python,2954.0,2018-04-23,2026-05-24,A PyTorch Extension:  Tools for easy mixed precision and distributed training in Pytorch,True,True,False,BSD-3-Clause,ok
Vision-CAIR/MiniGPT-4,Deep Learning,25709.0,2900.0,376.0,66584.0,Python,1136.0,2023-04-15,2026-05-25,"Open-sourced codes for MiniGPT-4 and MiniGPT-v2 (https://minigpt-4.github.io, https://minigpt-v2.github.io/)",True,True,False,BSD-3-Clause,ok
facebookresearch/swav,Computer Vision,2092.0,285.0,41.0,65.0,Python,2139.0,2020-07-16,2026-05-24,PyTorch implementation of SwAV https//arxiv.org/abs/2006.09882,False,True,False,NOASSERTION,ok
mlfoundations/open_clip,Deep Learning,13855.0,1283.0,38.0,16184.0,Python,1762.0,2021-07-28,2026-05-25,An open source implementation of CLIP.,True,True,False,NOASSERTION,ok
google-research/text-to-text-transfer-transformer,NLP,6520.0,793.0,106.0,5624.0,Python,2412.0,2019-10-17,2026-05-24,"Code for the paper ""Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer""",False,True,False,Apache-2.0,ok
yoheinakajima/babyagi,NLP,22276.0,2856.0,27.0,2297.0,Python,1148.0,2023-04-03,2026-05-25,,False,True,False,None,ok
NVIDIA/DeepLearningExamples,Computer Vision,14813.0,3411.0,323.0,108726.0,Jupyter Notebook,2945.0,2018-05-02,2026-05-25,State-of-the-Art Deep Learning scripts organized by models - easy to train and deploy with reproducible accuracy and performance on enterprise-grade infrastructure.,True,True,False,None,ok
salesforce/LAVIS,Deep Learning,11223.0,1104.0,499.0,83199.0,Jupyter Notebook,1370.0,2022-08-24,2026-05-25,LAVIS - A One-stop Library for Language-Vision Intelligence,False,True,False,BSD-3-Clause,ok
NVIDIA/TensorRT,Computer Vision,13015.0,2364.0,600.0,143362.0,C++,2580.0,2019-05-02,2026-05-25,NVIDIA® TensorRT™ is an SDK for high-performance deep learning inference on NVIDIA GPUs. This repository contains the open source components of TensorRT.,False,True,False,Apache-2.0,ok
lucidrains/x-transformers,Deep Learning,5863.0,509.0,74.0,40084.0,Python,2039.0,2020-10-24,2026-05-24,A concise but complete full-attention transformer with a set of promising experimental features from various papers,True,True,False,MIT,ok
karpathy/minGPT,Deep Learning,24442.0,3255.0,82.0,1485.0,Python,2107.0,2020-08-17,2026-05-25,A minimal PyTorch re-implementation of the OpenAI GPT (Generative Pretrained Transformer) training,True,True,False,MIT,ok
bigcode-project/bigcode-dataset,NLP,492.0,82.0,17.0,3985.0,Jupyter Notebook,1302.0,2022-10-31,2026-05-25,,True,True,False,Apache-2.0,ok
microsoft/onnxruntime,Computer Vision,20626.0,3939.0,1400.0,1512194.0,C++,2753.0,2018-11-10,2026-05-25,"ONNX Runtime: cross-platform, high performance ML inferencing and training accelerator",True,True,False,MIT,ok
onnx/onnx,Computer Vision,20885.0,3931.0,267.0,70461.0,Python,3182.0,2017-09-07,2026-05-25,Open standard for machine learning interoperability,True,True,False,Apache-2.0,ok
PKU-YuanGroup/Video-LLaVA,Deep Learning,3488.0,250.0,126.0,117982.0,Python,945.0,2023-10-23,2026-05-21,【EMNLP 2024🔥】Video-LLaVA: Learning United Visual Representation by Alignment Before Projection,False,True,False,Apache-2.0,ok
google/trax,Deep Learning,8305.0,823.0,125.0,169367.0,Python,2424.0,2019-10-05,2026-05-25,Trax — Deep Learning with Clear Code and Speed,True,True,False,Apache-2.0,ok
bigcode-project/bigcode-evaluation-harness,NLP,1046.0,263.0,95.0,893.0,Python,1385.0,2022-08-09,2026-05-22,A framework for the evaluation of autoregressive code generation language models.,True,True,False,Apache-2.0,ok
apache/tvm,Computer Vision,13387.0,3881.0,206.0,131835.0,Python,3512.0,2016-10-12,2026-05-25,Open Machine Learning Compiler Framework,False,True,False,Apache-2.0,ok
X-PLUG/mPLUG-Owl,Deep Learning,2541.0,190.0,100.0,35176.0,Python,1126.0,2023-04-25,2026-05-19,mPLUG-Owl: The Powerful Multi-modal Large Language Model  Family,False,True,False,MIT,ok
openai/gpt-2,Deep Learning,24879.0,5882.0,197.0,4486.0,Python,2660.0,2019-02-11,2026-05-25,"Code for the paper ""Language Models are Unsupervised Multitask Learners""",False,True,False,NOASSERTION,ok
